content_id,title,content_type,sport,duration_minutes,date_added
1,The Story of Jacob: A NFL Legend,Documentary,NFL,81,2023-10-02
2,Football Highlights: Lara-Rodriguez Event 74,Highlight,Football,11,2023-02-04
3,NFL Replay: Grevenbroich vs Helmstedt 2023-07-05,Replay,NFL,88,2023-07-05
4,The Story of Gonzalez: A Football Legend,Documentary,Football,116,2023-11-16
5,NFL Highlights: Heintze Event 74,Highlight,NFL,6,2023-04-25
6,The Story of Gregory: A Darts Legend,Documentary,Darts,116,2023-11-09
7,Tennis Replay: Samuelborough vs Port Frederick 2023-09-29,Replay,Tennis,148,2023-09-29
8,Football Replay: Geoffreytown vs West Alexismouth 2023-05-28,Replay,Football,149,2023-05-28
9,The Story of Davila: A Tennis Legend,Documentary,Tennis,89,2023-02-20
10,Tennis Replay: Nabburg vs Robertsland 2023-02-02,Replay,Tennis,132,2023-02-02
11,"Football Highlights: Johnson, Greenwood and Young Event 95",Highlight,Football,13,2023-04-08
12,Joshua Finke on their Football Career,Interview,Football,43,2023-08-01
13,Boxing Replay: Lucasville vs Aurich 2023-01-06,Replay,Boxing,103,2023-01-06
14,Football Replay: Wurzen vs Lake Joanna 2023-09-19,Replay,Football,101,2023-09-19
15,The Story of Röhricht: A F1 Legend,Documentary,F1,55,2023-06-03
16,The Story of Brown: A Football Legend,Documentary,Football,51,2023-10-14
17,Football Highlights: Weimer AG Event 85,Highlight,Football,9,2023-01-08
18,Boxing Highlights: Tyler-Farrell Event 35,Highlight,Boxing,6,2023-10-05
19,The Story of Söding: A Football Legend,Documentary,Football,100,2023-11-26
20,NFL Replay: Aue vs Neustrelitz 2023-05-02,Replay,NFL,135,2023-05-02
21,NFL Highlights: Oderwald Event 6,Highlight,NFL,6,2023-06-01
22,"F1 Highlights: Khan, Akhtar and Gallagher Event 1",Highlight,F1,6,2023-01-21
23,Football Highlights: Gierschner Wagner KG Event 18,Highlight,Football,15,2023-05-27
24,Football Replay: Demmin vs West Amy 2023-08-25,Replay,Football,60,2023-08-25
25,Boxing Highlights: Patel PLC Event 17,Highlight,Boxing,9,2023-10-27
26,Football Highlights: Nerger Steuer AG Event 72,Highlight,Football,13,2023-09-30
27,The Story of Jenkins: A Football Legend,Documentary,Football,50,2023-07-05
28,Boxing Highlights: Fiebig GmbH & Co. KGaA Event 10,Highlight,Boxing,8,2023-01-20
29,"F1 Highlights: Mcdonald, Snyder and Brown Event 91",Highlight,F1,13,2023-02-27
30,"Football Highlights: Peters, Johnson and Martinez Event 3",Highlight,Football,8,2023-10-21
