content_id,title,content_type,sport,duration_minutes,date_added
1,The Story of Jacob: A NFL Legend,Documentary,NFL,81,02-10-2023
2,Football Highlights: Lara-Rodriguez Event 74,Highlight,Football,11,04-02-2023
3,NFL Replay: Grevenbroich vs Helmstedt 2023-07-05,Replay,NFL,88,05-07-2023
4,The Story of Gonzalez: A Football Legend,Documentary,Football,116,16-11-2023
5,NFL Highlights: Heintze Event 74,Highlight,NFL,6,25-04-2023
6,The Story of Gregory: A Darts Legend,Documentary,Darts,116,09-11-2023
7,Tennis Replay: Samuelborough vs Port Frederick 2023-09-29,Replay,Tennis,148,29-09-2023
8,Football Replay: Geoffreytown vs West Alexismouth 2023-05-28,Replay,Football,149,28-05-2023
9,The Story of Davila: A Tennis Legend,Documentary,Tennis,89,20-02-2023
10,Tennis Replay: Nabburg vs Robertsland 2023-02-02,Replay,Tennis,132,02-02-2023
11,"Football Highlights: Johnson, Greenwood and Young Event 95",Highlight,Football,13,08-04-2023
12,Joshua Finke on their Football Career,Interview,Football,43,01-08-2023
13,Boxing Replay: Lucasville vs Aurich 2023-01-06,Replay,Boxing,103,06-01-2023
14,Football Replay: Wurzen vs Lake Joanna 2023-09-19,Replay,Football,101,19-09-2023
15,The Story of Röhricht: A F1 Legend,Documentary,F1,55,03-06-2023
16,The Story of Brown: A Football Legend,Documentary,Football,51,14-10-2023
17,Football Highlights: Weimer AG Event 85,Highlight,Football,9,08-01-2023
18,Boxing Highlights: Tyler-Farrell Event 35,Highlight,Boxing,6,05-10-2023
19,The Story of Söding: A Football Legend,Documentary,Football,100,26-11-2023
20,NFL Replay: Aue vs Neustrelitz 2023-05-02,Replay,NFL,135,02-05-2023
21,NFL Highlights: Oderwald Event 6,Highlight,NFL,6,01-06-2023
22,"F1 Highlights: Khan, Akhtar and Gallagher Event 1",Highlight,F1,6,21-01-2023
23,Football Highlights: Gierschner Wagner KG Event 18,Highlight,Football,15,27-05-2023
24,Football Replay: Demmin vs West Amy 2023-08-25,Replay,Football,60,25-08-2023
25,Boxing Highlights: Patel PLC Event 17,Highlight,Boxing,9,27-10-2023
26,Football Highlights: Nerger Steuer AG Event 72,Highlight,Football,13,30-09-2023
27,The Story of Jenkins: A Football Legend,Documentary,Football,50,05-07-2023
28,Boxing Highlights: Fiebig GmbH & Co. KGaA Event 10,Highlight,Boxing,8,20-01-2023
29,"F1 Highlights: Mcdonald, Snyder and Brown Event 91",Highlight,F1,13,27-02-2023
30,"Football Highlights: Peters, Johnson and Martinez Event 3",Highlight,Football,8,21-10-2023
31,MMA Replay: East Richardchester vs North Julie 2023-10-26,Replay,MMA,118,26-10-2023
32,The Story of Kramer: A Tennis Legend,Documentary,Tennis,56,23-07-2023
33,Football Highlights: Wilson-Hernandez Event 56,Highlight,Football,12,15-09-2023
34,"Football Highlights: May, Clark and Ramirez Event 40",Highlight,Football,14,12-10-2023
35,Football Highlights: Huff-Curry Event 22,Highlight,Football,4,14-03-2023
36,Football Highlights: Weitzel AG Event 66,Highlight,Football,6,18-03-2023
37,Richard Garcia on their Football Career,Interview,Football,19,02-01-2023
38,Football Replay: West Graceborough vs Perkinsside 2023-11-05,Replay,Football,85,05-11-2023
39,Football Replay: Port Dylanville vs New Shaun 2023-07-02,Replay,Football,143,02-07-2023
40,MMA Replay: East Dustin vs Sheilatown 2023-07-22,Replay,MMA,140,22-07-2023
41,NFL Highlights: Richards-Chambers Event 98,Highlight,NFL,12,15-02-2023
42,Tennis Highlights: Stroh GbR Event 73,Highlight,Tennis,13,15-10-2023
43,F1 Highlights: Johann Event 81,Highlight,F1,8,01-04-2023
44,Football Replay: New Joanna vs Weißwasser 2023-07-15,Replay,Football,116,15-07-2023
45,NFL Highlights: Martin Ltd Event 76,Highlight,NFL,3,18-03-2023
46,"Football Highlights: Hall, Potts and Douglas Event 60",Highlight,Football,10,01-01-2023
47,Football Replay: Gardelegen vs Brandonton 2023-10-10,Replay,Football,96,10-10-2023
48,Tennis Replay: Hammelburg vs Lake Charlottehaven 2023-03-03,Replay,Tennis,71,03-03-2023
49,"Boxing Highlights: Fletcher, Moody and Griffin Event 60",Highlight,Boxing,12,07-09-2023
50,NFL Highlights: Heydrich Event 6,Highlight,NFL,10,05-08-2023
51,Andrew Walker on their F1 Career,Interview,F1,22,03-03-2023
52,Boxing Highlights: Schmiedt e.V. Event 20,Highlight,Boxing,3,26-01-2023
53,Darts Highlights: Dobes Event 44,Highlight,Darts,14,14-05-2023
54,F1 Replay: East Amandaside vs Viersen 2023-01-18,Replay,F1,65,18-01-2023
55,Boxing Replay: Schlüchtern vs Jordanburgh 2023-07-04,Replay,Boxing,116,04-07-2023
56,F1 Highlights: Robinson-Martin Event 47,Highlight,F1,8,22-02-2023
57,Mark Brooks on their Football Career,Interview,Football,31,28-05-2023
58,Football Highlights: Ray PLC Event 81,Highlight,Football,13,19-02-2023
